,acid_alc,kingdom,count,total_count,percentage
381,RN,Metazoa,2,3,66.66666666666666
382,RN,Pseudomonadati,1,3,33.33333333333333
383,LA,Metazoa,2,3,66.66666666666666
384,TG,Metazoa,2,3,66.66666666666666
385,TG,Fungi,1,3,33.33333333333333
386,LA,Bacillati,1,3,33.33333333333333
387,TL,Metazoa,3,3,100.0
388,AP,Metazoa,2,3,66.66666666666666
389,TP,Metazoa,2,3,66.66666666666666
390,TP,Fungi,1,3,33.33333333333333
391,AP,Viridiplantae,1,3,33.33333333333333
392,DD,Fungi,1,2,50.0
393,FA,Metazoa,2,2,100.0
394,KI,Metazoa,2,2,100.0
395,KN,Pseudomonadati,1,2,50.0
396,KN,Metazoa,1,2,50.0
397,LE,Metazoa,2,2,100.0
398,SG,Viridiplantae,2,2,100.0
399,HG,Fungi,2,2,100.0
400,IA,Fungi,2,2,100.0
401,GM,Metazoa,2,2,100.0
402,ED,Bacillati,2,2,100.0
403,AR,Fungi,1,1,100.0
404,SQ,Viridiplantae,1,1,100.0
405,RP,Metazoa,1,1,100.0
406,VG,Viridiplantae,1,1,100.0
407,SI,Metazoa,1,1,100.0
408,DF,Viridiplantae,1,1,100.0
409,QF,Fungi,1,1,100.0
410,MP,Metazoa,1,1,100.0
411,MA,Viridiplantae,1,1,100.0
412,LP,Metazoa,1,1,100.0
413,YP,Viridiplantae,1,1,100.0
414,YQ,Fungi,1,1,100.0
415,HR,Metazoa,1,1,100.0
416,GI,Metazoa,1,1,100.0
417,PN,Fungi,1,1,100.0
418,AL,Bacillati,1,1,100.0
419,FN,Bacillati,1,1,100.0
420,EX,Bacillati,1,1,100.0
421,FS,Metazoa,1,1,100.0
422,EC,Bacillati,1,1,100.0
423,AF,Viridiplantae,1,1,100.0
