acid_alc,Bacillati,Bamfordvirae,Fungi,Heunggongvirae,Metazoa,Methanobacteriati,Nanobdellati,Pseudomonadati,Thermoproteati,Thermotogati,Viridiplantae
GT,0.1188201526874579,0.0,0.3238661437524536,0.0,0.17884059485024945,0.0006808291077286297,0.0,0.037160989556628325,0.0,0.0,0.34063129004548215
HA,0.37052343750937816,0.0,0.2599738217278916,0.0,0.11194166912048038,0.0,0.0,0.0,0.0,0.0,0.2575610716422499
HG,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,0.0,0.0,0.8326563769293257,0.0,0.16734362307067427,0.0,0.0,0.0,0.0,0.0,0.0
HN,0.05118256227386901,0.0,0.885272047648549,0.0,0.038157517790827655,0.0,0.0,0.01271917259694255,0.0,0.0,0.012668699689811826
HP,0.0,0.0,0.42972156994297217,0.0,0.4277088225427709,0.0,0.0,0.0,0.0,0.0,0.14256960751425696
HQ,0.0,0.0,0.8739884393063584,0.0,0.1260115606936416,0.0,0.0,0.0,0.0,0.0,0.0
HR,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HS,0.003774403102250885,0.0,0.9366894678221266,0.0,0.017779338201784418,0.0,0.0,0.005641686958905346,0.0,0.0,0.03611510391493283
HT,0.2026478522495511,0.0,0.3963127705855277,0.0,0.23800704985470714,0.0006556368676179038,0.0,0.04890677072118686,0.0,0.0,0.11346991972140934
HV,0.25164835164835164,0.0,0.7483516483516484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.8282828282828284,0.0,0.1717171717171717,0.0,0.0,0.0,0.0,0.0,0.0
IP,0.0,0.0,0.0,0.0,0.5010729613733906,0.0,0.0,0.0,0.0,0.0,0.4989270386266095
IS,0.5315244091774951,0.0,0.04794141729836231,0.0,0.09513666467768396,0.0,0.0,0.023830529066437404,0.0,0.0,0.301566979780021
IT,0.5770635188069273,0.0,0.11524855152182914,0.0,0.09986255451451692,0.10276254321198171,0.0,0.04456877578383236,0.0,0.0,0.060494056160912496
KI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KN,0.0,0.0,0.0,0.0,0.5010183299389002,0.0,0.0,0.49898167006109984,0.0,0.0,0.0
KP,0.0,0.0,0.0,0.0,0.40144230769230765,0.0,0.0,0.0,0.0,0.0,0.5985576923076924
KS,0.6355380267393387,0.0,0.03941636099342446,0.0,0.01967254183396953,0.0,0.0,0.0,0.0,0.0,0.3053730704332674
KT,0.49201052524442823,0.0,0.07072312656385452,0.0,0.21160170242148582,0.007190465851122203,0.0,0.046024051105831534,0.0,0.0,0.17245012881327762
LA,0.33461538461538465,0.0,0.0,0.0,0.6653846153846154,0.0,0.0,0.0,0.0,0.0,0.0
LE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LK,0.0,0.0,0.33460076045627374,0.0,0.6653992395437263,0.0,0.0,0.0,0.0,0.0,0.0
LN,0.7499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
LP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LS,0.0883830319694021,0.0,0.0,0.0,0.6795938539268893,0.0,0.0,0.029357819725971863,0.0,0.0,0.2026652943777367
LT,0.25035040320055324,0.0,0.08858378608170916,0.0,0.26138579742142704,0.0,0.0,0.2687933956534358,0.0,0.0,0.13088661764287476
MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,0.42987111448066717,0.0,0.0,0.0,0.14329037149355572,0.0,0.0,0.0,0.0,0.0,0.4268385140257771
MT,0.11324735359710139,0.0,0.28533818261807875,0.0,0.29979590431966346,0.0,0.0,0.23741373553748812,0.0,0.0,0.06420482392766816
NG,0.0,0.0,0.1126228269085412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8873771730914589
NN,0.232715380933822,0.0,0.07757179364460734,0.0,0.23117166364736216,0.0,0.0,0.0,0.0,0.0,0.45854116177420845
NP,0.0,0.0,0.0,0.0,0.8565300285986653,0.0,0.0,0.0,0.0,0.0,0.1434699714013346
